Region,mean_catch
SSE,3184660714.285714
BRB,2709796491.2280703
NSE,1825020869.5652175
KOD,1528350000
PWS,1419236697.2477064
SOP,1110942222.2222223
CKI,683571428.5714285
CHG,315487272.72727275
NOP,229493478.26086956
COP,179223404.25531915
GSE,133841463.41463415
YAK,91922916.66666667
YUK,68645569.62025316
KSK,67642352.94117647
NRS,51502702.7027027
ALU,40383908.04597701
KTZ,18836144.578313254
BER,16372549.019607844
